id;brand;color;gender;style;size_mesaurments;size_details
1;24/365;orchid;payment;Grocery;wireless Tasty Plastic Sausages;compelling Rubber Equatorial Guinea
2;1080p;black;Savings Account Multi-tiered;invoice;Buckinghamshire Investor Fresh;mobile
3;Pa'anga;pink;Licensed Plastic Table payment infrastructures;Credit Card Account;Specialist firewall;hacking Small Ergonomic
4;Fantastic backing up;indigo;high-level withdrawal;payment;synthesize Villages;feed
5;Pa'anga optimize;blue;Director;Kentucky synergize synthesize;Missouri Argentine Peso;application withdrawal
6;Pizza Dynamic SAS;salmon;transmitter vertical Future;Director Home;reinvent panel;mobile Health Hong Kong Dollar
7;calculating;orange;Wisconsin;object-oriented Investment Account Gorgeous Soft Computer;Steel National programming;Directives
8;collaborative;lime;Belgium UIC-Franc Burkina Faso;Strategist;back-end Home Practical;Functionality payment
9;Buckinghamshire;maroon;US Dollar schemas;Keyboard;killer quantify Chicken;Integration
10;alarm;turquoise;Diverse Bahamian Dollar invoice;Consultant Lead index;sky blue Ukraine;mission-critical
