id;district;upazila;postalcode
1;Sri Lanka Rupee Kids;Vanuatu back up haptic;Borders Tasty Cotton Computer capacitor
2;maximize feed Accountability;Sleek;Officer mobile
3;Frozen discrete USB;eyeballs Ireland;red
4;Generic Concrete Sausages;payment;Horizontal
5;Cuban Peso Peso Convertible networks;Architect Seychelles Rupee;Practical Metal Pants
6;synthesizing;Norwegian Krone conglomeration;generate Fresh Avon
7;JBOD copying web-readiness;expedite;array payment alarm
8;index Director high-level;partnerships;Intelligent Steel Ball
9;bandwidth-monitored bandwidth;seamless multi-byte;compress De-engineered
10;Practical Rubber Gloves circuit;card Checking Account;Face to face
