id;name;bn_name;url;districts_id
1;parse Generic Rubber Towels Configurable;Alabama;http://ottilie.com;1
2;Turkmenistan disintermediate white;Arizona;http://linda.name;2
3;Corporate;Metrics wireless;https://janice.info;3
4;EXE niches;Fantastic Metal Table;http://marcelle.biz;4
5;Neck;Steel purple;https://arvel.com;5
6;Micronesia;Corporate;https://leo.biz;6
7;bypass Soap;Keyboard;https://nathen.com;7
8;firewall Cross-group PNG;Consultant;https://mariah.com;8
9;Applications Massachusetts Product;Triple-buffered;http://annabelle.org;9
10;payment Senior;Isle copy;https://ivah.net;10
